"date","amount"
2018-02-19,7.34
2018-02-19,3.43
2018-02-16,50
2018-02-16,39.3
2018-02-16,9.7
2018-02-16,0.51
2018-02-16,28.89
2018-02-15,4.52
2018-02-15,24.78
2018-02-15,9.77
2018-02-14,2.98
2018-02-12,22.4
2018-02-07,24.2
2018-02-07,17.58
2018-02-07,9.36
2018-02-05,29.58
2018-02-05,195.25
2018-01-31,41
2018-01-31,30.3
2018-01-26,19.25
2018-01-26,3.35
2018-01-26,19.44
2018-01-25,100.8
2018-01-25,5.6
2018-01-25,7.78
2018-01-24,15.15
2018-01-23,37.3
2018-01-22,6.18
2018-01-22,7.5
2018-01-22,10.3
2018-01-19,3.5
2018-01-17,25.05
2018-01-17,3.03
2018-01-16,8
2018-01-16,17.67
2018-01-11,272
2018-01-11,102.8
2018-01-10,24.51
2018-01-10,55.1
2018-01-10,4
2018-01-10,13
2018-01-10,50.86
2018-01-10,31.74
2018-01-10,9.08
2018-01-09,13
2018-01-09,24.52
2018-01-09,7.71
2018-01-08,27.66
2018-01-05,195.25
2018-01-04,67.95
2018-01-02,8.49
2018-01-02,24.24
2017-12-28,40.33
2017-12-27,1.96
2017-12-27,25.86
2017-12-27,11.13
2017-12-27,304.3
2017-12-27,20.42
2017-12-27,8.36
2017-12-27,25.31
2017-12-27,22.73
2017-12-27,11.51
2017-12-27,81.84
2017-12-21,6.8
2017-12-20,3.85
2017-12-20,0.3
2017-12-20,30.98
2017-12-19,14.9
2017-12-19,15
2017-12-18,16.1
2017-12-18,1.53
2017-12-18,3.99
2017-12-18,0.99
2017-12-18,38
2017-12-15,5.75
2017-12-15,24
2017-12-15,13
2017-12-15,156
2017-12-14,4.7
2017-12-13,2.99
2017-12-12,69.6
2017-12-12,26.5
2017-12-12,14.03
2017-12-11,6.2
2017-12-11,6.2
2017-12-11,10.85
2017-12-11,4.93
2017-12-11,162.6
2017-12-08,15.38
2017-12-05,56.6
2017-12-05,32
2017-12-05,8.5
2017-12-05,195.25
2017-12-04,39.06
2017-12-01,11.45
2017-12-01,7.43
2017-11-30,10
2017-11-30,9.9
2017-11-30,2.82
2017-11-29,13
2017-11-28,2.99
2017-11-28,9
2017-11-27,10.8
2017-11-27,8.6
2017-11-27,12.3
2017-11-27,7.9
2017-11-27,10
2017-11-24,5.5
2017-11-24,10
